scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
1,Prophet Muhammad SAW,محمّد صلّی اللہ علیہ وآلہ وسلّم ,Rasool Allah,570,633,"Makkah, Medina","2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 53, 56",
2,Abu Bakr As-Siddique,( أبو بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],572,635,"Makkah, Medina","3, 4, 5, 8, 49, 53, 107, 168, 17, 106, 18, 29, 19, 34, 400, 38, 13, 3680, 872, 3660, 11194, 11416, 11046, 17003",1
3,'Umar ibn al-Khattab,( عمر بن الخطاب بن نفيل ( رضي الله عنه,Comp.(RA) [1st Generation],582,645,"Makkah, Medina","54, 18, 563, 4, 5, 6, 9, 8, 39, 16, 27, 28, 49, 29, 106, 17, 53, 19, 400, 13, 41, 189, 391, 212, 145, 485, 274, 4057, 4052, 2201, 5066, 2801, 1048, 4123, 5309, 1935, 15659","1, 2"
4,Uthman ibn 'Affaan,( عثمان بن عفان ( رضي الله عنه,Comp.(RA) [1st Generation],576,656,"Makkah, Abyssinia, Medinah","10582, 10587, 16, 49, 123, 391, 13, 19, 16, 17, 106, 858, 237, 4048, 405, 448, 3048, 3680, 5030, 1238, 880, 989, 1830, 11002, 11112, 10567, 11353, 11359, 11017, 10694, 10600, 10602, 11421, 19103, 19291, 19282","1, 2, 3"
5,Ali ibn Abi Talib,( علي بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],600,661,"Makkah, Medina, kufa","30, 31, 16, 400, 13, 38, 182, 438, 17, 18, 106, 108, 34, 393, 384, 41, 405, 1937, 2080, 4081, 5202, 4047, 1546, 3660, 10600, 19933, 19508, 11045, 19566, 11659","1, 2, 3, 63, 163"
6,Talha ibn 'Ubaidullah,( طلحة بن عبيد الله ( رضي الله عنه,Comp.(RA) [1st Generation],595,657,"Makkah, Medinah","577, 578, 579, 10598, 10573, 10574, 10504, 34, 2705, 3048, 2711, 169, 10567, 11046, 5030, 11113, 11443","1, 2, 3"
7,Zubayr ibn al-Awwam,( الزبير بن العوام بن خويلد ( رضي الله عنه,Comp.(RA) [1st Generation],595,657,"Makkah, Medinah","106, 10511, 11112, 11046, 5030, 11012, 11059",1
8,'Abdur Rahman Ibn 'Awf,( عبد الرحمن بن عوف ( رضي الله عنه,Comp.(RA) [1st Generation],623,654,"Makkah, Abyssinia, Medinah","584, 10561, 10560, 10569, 10567, 18999, 2201, 17, 18, 34, 871, 19, 11577, 5030, 12551, 13510, 709, 11058","1, 3"
9,Sa'd ibn Abi Waqqas (Sa?d ibn Malik ibn Wuhaib),( سعد بن أبي وقاص ( رضي الله عنه,Comp.(RA) [1st Generation],595,675,"Makkah, Medina, Kufa","598, 10553, 10554, 10555, 10556, 10557, 10558, 10559, 53, 18, 17, 393, 3048, 5003, 5030, 584, 11113, 11359, 11017, 11153, 11112, 10774, 11382, 11028, 11846, 10710","1, 76"
10,Abu 'Ubaidah ibn al-Jarrah,( أبو عبيدة بن الجراح ( رضي الله عنه,Comp.(RA) [1st Generation],583,640,"Makkah, Medina, Syria","34, 394, 5152, 4048, 5172, 4056, 11026, 11416, 11046, 14212, 16105",1
11,Sa'id bin Zayd,( سعيد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],623,671,"Makkah, Medina, Kufa","13269, 29, 5202, 3660, 11046, 11113, 10561, 11520, 10511, 15317, 11697, 19920, 11043, 11217, 11035",1
12,Mus'ab ibn 'Umair,( مصعب بن عمير ( رضي الله عنه,Comp.(RA),596,625,"Makkah, Abyssinia, Medinah",,1
13,Abu Hurairah,( أبو هريرة - عبد الرحمن بن صخر الدوسي ( رضي الله عنه,Comp.(RA) [1st Generation],611,680,"Makkah, Medina, Yemen, Bahrain","12496, 17, 18, 19, 4049, 34, 858, 5232, 11002, 11171, 11046, 11443, 405, 11027, 11113, 11451, 11226, 11406, 11829, 11153, 11266, 11677, 11420, 10567, 11280, 11842, 11843, 11283, 11840, 10907, 11850, 11011, 11284, 11165, 11852, 11212, 11168, 11016, 11035, 11509, 11005, 11170, 11511, 10554, 10774, 18421, 11053, 11023, 11028, 11029, 11052, 11865, 10694, 5003, 11167, 12135, 11571","1, 2, 3, 135, 39, 50, 53, 4058"
14,Salman al-Farisi,( سلمان أبو عبد الله الفارسي ( رضي الله عنه,Comp.(RA) [1st Generation],565,657,"Asbahan, Jia, Medina, Fars, Kufa","19, 4052, 17, 38, 3660, 11457, 11113, 10911, 10768, 3680, 11055, 11044",1
15,Zayd ibn Harithah,( زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],588,630,"Makkah, Medina","50, 400, 17, 19",1
16,ibn Mas'ud (?Abd Allah ibn Mas?ud),( عبد الله بن مسعود ( رضي الله عنه,Comp.(RA) [1st Generation],594,653,"Makkah, Abyssinia, Medina, kufah","11363, 15681, 4145, 38, 19, 34, 18, 41, 4113, 4048, 3680, 3660, 106, 17, 4047, 479, 10780, 5201, 5238, 18881, 5355, 498, 11363, 15681, 11017, 11054, 11018, 10760, 11341, 11353, 15229, 11330, 11334, 11337, 15580, 169, 10786, 11196, 11370, 11113, 10805, 11644, 11382, 11046, 11731, 10824, 11659, 11114, 11397","1, 46, 3, 4143"
17,ibn Abbas,( عبد الله بن العباس بن عبد المطلب الحبر ( رضي الله عنه,Comp.(RA) [1st Generation],620,688,"Makkah, Medina","11014, 10535, 10949, 10961, 18, 4133, 2201, 3660","1, 1, 100, 156, 135, 61, 2, 4, 5, 8, 32, 23, 39, 382, 22, 50, 4124, 3661, 25, 38, 229, 13, 27, 116, 53, 70, 58, 52, 198, 56"
18,ibn Umar (?Abd Allah ibn ?Umar ibn al-Khattab),( عبد الله بن عمر بن الخطاب ( رضي الله عنه,Comp.(RA) [1st Generation],610,693,"Makkah, Medina","11813, 11814, 11815, 11816, 11819, 11011, 11817, 11818, 11002, 11014, 10535","1, 3, 114, 54, 2, 4, 5, 11, 24, 49, 182, 16, 53, 1986"
19,Anas bin Malik,( أنس بن مالك بن النضر ( رضي الله عنه,Comp.(RA) [1st Generation],613,713,"Medinah, Damascus,  Basrah","11016, 11289, 11047, 11313, 11295, 11151, 11267, 11019, 11269, 11279, 11270, 11113, 11035, 11038, 405, 11240, 19840, 11326, 11013, 11162, 11062, 11050, 12154","1, 2, 3, 4, 48, 63, 239, 8, 16, 1335, 23, 39, 229, 32, 40, 83, 209, 156"
20,Hamza ibn 'Abd al-Muttalib,( حمزة بن عبد المطلب أسد الله ( رضي الله عنه,Comp.(RA),568,625,"Makkah, Medina",,1
21,Ja'far ibn Abi Talib,( جعفر بن أبي طالب بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],623,630,"Makkah, Abyssinia, Medina","108, 56, 28, 16",1
22,Khalid bin al-Walid,( خالد بن الوليد بن المغيرة ( رضي الله عنه,Comp.(RA) [1st Generation],593,643,"Makkah, Medina, Syria","17, 34, 5304, 11046, 11017, 4097, 11618, 11353",1
